"filename", "language", "PowerShell", "Markdown", "JavaScript", "JavaScript JSX", "PostCSS", "JSON", "HTML", "Python", "pip requirements", "TypeScript", "TypeScript JSX", "YAML", "JSON with Comments", "Java", "Batch", "Java Properties", "XML", "MS SQL", "comment", "blank", "total"
"c:\Users\eyash\news_bridge\avatar\index.html", "HTML", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 47
"c:\Users\eyash\news_bridge\avatar\inspect_action_frames.py", "Python", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 24
"c:\Users\eyash\news_bridge\avatar\inspect_avatar.py", "Python", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 21
"c:\Users\eyash\news_bridge\avatar\inspect_poses.py", "Python", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 8, 56
"c:\Users\eyash\news_bridge\avatar\package-lock.json", "JSON", 0, 0, 0, 0, 0, 2123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2124
"c:\Users\eyash\news_bridge\avatar\package.json", "JSON", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\eyash\news_bridge\avatar\server.js", "JavaScript", 0, 0, 167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 37, 253
"c:\Users\eyash\news_bridge\avatar\src\avatar.js", "JavaScript", 0, 0, 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 21, 157
"c:\Users\eyash\news_bridge\avatar\src\bonePicker.js", "JavaScript", 0, 0, 199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 38, 264
"c:\Users\eyash\news_bridge\avatar\src\lipSync.js", "JavaScript", 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 16, 123
"c:\Users\eyash\news_bridge\avatar\src\main.js", "JavaScript", 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 22, 149
"c:\Users\eyash\news_bridge\avatar\src\scene.js", "JavaScript", 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 14, 105
"c:\Users\eyash\news_bridge\avatar\src\speech.js", "JavaScript", 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 16, 112
"c:\Users\eyash\news_bridge\avatar\src\style.css", "PostCSS", 0, 0, 0, 0, 187, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 31, 225
"c:\Users\eyash\news_bridge\avatar\src\syncTest.js", "JavaScript", 0, 0, 610, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 103, 767
"c:\Users\eyash\news_bridge\avatar\src\visemeTest.js", "JavaScript", 0, 0, 219, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 39, 278
"c:\Users\eyash\news_bridge\avatar\test.html", "HTML", 0, 0, 0, 0, 0, 0, 251, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 273
"c:\Users\eyash\news_bridge\avatar\viseme-test.html", "HTML", 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20, 146
"c:\Users\eyash\news_bridge\avatar\vite.config.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 33
"c:\Users\eyash\news_bridge\backend\README.md", "Markdown", 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 101
"c:\Users\eyash\news_bridge\backend\ai-assistant-service\config.py", "Python", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"c:\Users\eyash\news_bridge\backend\ai-assistant-service\core\embedder.py", "Python", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 26
"c:\Users\eyash\news_bridge\backend\ai-assistant-service\core\llm.py", "Python", 0, 0, 0, 0, 0, 0, 0, 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 19, 228
"c:\Users\eyash\news_bridge\backend\ai-assistant-service\ingestion\fetcher.py", "Python", 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 24, 135
"c:\Users\eyash\news_bridge\backend\ai-assistant-service\ingestion\processor.py", "Python", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\eyash\news_bridge\backend\ai-assistant-service\logic\news_brief.py", "Python", 0, 0, 0, 0, 0, 0, 0, 194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 53, 324
"c:\Users\eyash\news_bridge\backend\ai-assistant-service\logic\post_logic.py", "Python", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 5, 27
"c:\Users\eyash\news_bridge\backend\ai-assistant-service\logic\tag_extractor.py", "Python", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 10, 103
"c:\Users\eyash\news_bridge\backend\ai-assistant-service\logic\topic_logic.py", "Python", 0, 0, 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 26, 154
"c:\Users\eyash\news_bridge\backend\ai-assistant-service\main.py", "Python", 0, 0, 0, 0, 0, 0, 0, 164, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 46, 242
"c:\Users\eyash\news_bridge\backend\ai-assistant-service\rag\global_store.py", "Python", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 27
"c:\Users\eyash\news_bridge\backend\ai-assistant-service\rag\ingest.py", "Python", 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 18, 94
"c:\Users\eyash\news_bridge\backend\ai-assistant-service\rag\scheduler.py", "Python", 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 15, 90
"c:\Users\eyash\news_bridge\backend\ai-assistant-service\rag\search.py", "Python", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\eyash\news_bridge\backend\ai-assistant-service\rag\store.py", "Python", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 59
